object_id,gp_len_scale_time,gp_len_scale_wave,gp_noise_level,gp_score
Dornhoth_fervain_onodrim,103.52782822244399,10000.00000000001,28.290634336832397,-203.96981641004035
Dornhoth_galadh_ylf,25.376885694150932,329.0191434813489,9.999999999999997e-06,-217.62667887083592
Elrim_melethril_thul,259.67738568992155,213.6102971468861,35.197747869870064,-113.60003853820145
Ithil_tobas_rodwen,177.45036126936958,882.4526449508161,0.0038189855472377313,-297.6154047090084
Mirion_adar_Druadan,139.10848268524887,532.2174271974998,0.016887017075217847,-106.22182967371756
Mirion_lalaith_neledh,225.64144655756323,742.066774260085,0.013622529771445444,-93.81244934211767
Rochirrim_lebdas_pethron,130.69994048641516,593.110477727267,0.05561904520031721,-108.05998724109968
acharn_lend_Mithrim,76.5274740002977,495.07726978975245,9.999999999999997e-06,-125.71020050959686
achas_iar_gaur,499.99999999999983,185.87014600208516,6.688540622102273e-05,-102.87111131849073
aduial_nur_luith,499.99999999999983,2143.0008526527276,0.004230093365636172,-61.574593132767504
amath_gwador_helegnen,318.7395408240101,225.02748120699437,0.004558269455790146,-147.59817913145108
amlug_loss_ang,230.57428264646728,10000.00000000001,56.28310494860043,-382.12788446272543
amon_imloth_luin,43.398819669396374,582.1541225776222,0.017580317426134383,-115.67539554267034
andrann_puig_fern,18.174036280641154,281.5481136143817,9.999999999999997e-06,-210.4819944837744
ang_cugu_harad,499.99999999999983,612.495449971705,9.999999999999997e-06,-75.71707541837299
ang_neledh_aith,82.40833641530307,429.59940466314714,0.03908840086223836,-95.2402687744656
angos_rusc_curunir,193.77798875010305,1554.5112169428603,0.009233802508091285,-83.38698179762754
annon_adab_lossen,273.4836578174096,389.45878419325254,9.999999999999997e-06,-42.57963209891765
araf_hub_faun,28.373816112234813,715.7028002342864,0.005464607501282379,-438.8807252578256
aras_ryn_manadh,19.71169449515564,339.0285025950381,9.999999999999997e-06,-194.47806552867763
badhor_graw_aiglos,499.99999999999983,3474.8039114891317,9.999999999999997e-06,-24.263965966394125
badhor_magol_merilin,499.99999999999983,280.33861911938317,0.013744127760024965,-118.81525097417325
badhor_onodrim_alagos,370.8720240592135,575.8351224225,0.010012119222660154,-100.65548722304005
baneth_pilin_tachol,27.228020396436445,405.81754084710906,0.009744533624524793,-148.02632100992747
bragol_bronwe_lagor,212.9915504524051,446.56977944916923,0.01623794293211183,-99.68703405853758
bragol_nothrim_gas,46.63138281495335,256.0108267697914,0.14595788475311797,-170.0233964607908
celair_aerlinn_aes,53.21062175108569,373.9815387772557,0.0875357347255314,-213.72110207703722
cirion_ira_Ithil,29.464072003760815,285.25220550451024,9.999999999999997e-06,-156.52218150416186
corch_faun_min,28.56756309327342,730.2437102533752,9.999999999999997e-06,-128.503011793048
corf_Mirion_toll,246.3949968240318,346.01869194584975,0.24984818083806,-252.3495035350852
cuin_haudh_cenedril,462.2896098509664,3027.70263814189,0.0063088811983903524,-93.78824182576999
cuin_law_amon,28.511275460665317,401.40905831134154,0.07752039665800063,-120.56406719677094
dam_corch_agar,166.44583596256382,314.93407633771295,0.0851549498308883,-98.53196358804853
dirnaith_achas_noroth,264.5898630329816,3145.063900473611,9.999999999999997e-06,-67.85538118539473
drafn_araf_ryn,47.00122871510578,934.828906983741,9.999999999999997e-06,-114.74481217387678
eilian_pilin_fang,64.1178057641788,349.11839628416607,0.03829992213188211,-204.9211001089507
eilian_pod_firiel,40.22962964286964,696.571758625381,0.019555078002459016,-140.29622229647674
elu_rusc_nath,138.39190192327635,1316.6862022007188,0.012778930350371573,-95.81648376691938
elvellon_fast_annon,31.641868735295347,368.866991714016,0.0027926584650046103,-169.3554955348245
ennorath_guldur_aear,317.08205206100786,1185.7193352320583,0.0009036651263470008,-74.64396471288468
erchion_ungol_aduial,16.548737638978263,283.4296840009869,9.999999999999997e-06,-97.86399736803574
espalass_melethron_ungol,170.44273426372385,803.1508044196095,0.003986548935064609,-98.98319765419804
espalass_nestad_hul,230.05543434041468,532.9601577102186,0.020301881685271934,-135.11421014031154
fae_haeron_merilin,26.733421116857603,343.0669548881867,9.999999999999997e-06,-115.63493173631218
fang_ira_nell,16.64471813954672,313.0238168218598,0.006536825817478056,-87.6222494024404
fast_ang_lebenedh,499.99999999999983,166.47390884221267,0.007906013902332644,-85.33694266612751
fast_celeb_bregedur,383.811751655738,10000.00000000001,14.592513039644068,-141.83306715666794
firiel_lend_mithril,499.99999999999983,177.7674879082252,9.999999999999997e-06,-130.03713952723794
fuin_bragol_talraph,180.1603394612455,497.9478627113461,0.0006089422134297475,-95.37124021400872
galad_thangail_pethron,99.56734080904069,454.80884545496593,0.05220073596250772,-204.52451776108808
gas_cair_gondrath,64.1752857955246,518.4049248348604,0.028668833057405693,-133.20984403695513
gas_glaur_daen,54.45807723392361,10000.00000000001,75.47855560657699,-666.0563359694596
gaurwaith_Ithil_rhach,299.35088477227407,10000.00000000001,15.149785567526864,-87.09829025185509
gli_lembas_galadhrim,34.619174725306934,429.1262065429866,9.999999999999997e-06,-449.60862838221993
gond_aduial_suil,27.270562790194383,386.4850108702394,0.0242915738220806,-129.3501746871183
gond_pent_Dornhoth,20.430117064133427,322.05688655443714,0.04899441020211429,-175.43043364692073
gondrath_saer_rach,359.61166215499946,683.6011258659847,0.03013155347350704,-136.04905292160134
graw_heledir_lunt,146.53996971526138,399.21146846777964,0.01431971886597779,-81.16789457260612
graw_idhren_narthan,291.7593733719067,526.5802133226263,0.011560256030331284,-135.131710935743
gul_braig_baug,77.91822866227267,1533.023846788504,2.427354605335175,-285.71534957683
gwador_thurin_hal,53.64884989843922,10000.00000000001,5.369966590462135,-263.1737926585449
gwathui_adan_barad,55.490397462686346,539.1249887313681,0.003409790490962294,-461.74784957842485
gwilwileth_aegas_ah,284.99313324364385,395.82089171441453,0.00561475206123328,-115.50816836552151
gwilwileth_ungol_aegas,289.58803053989476,763.504742645096,0.02731056008177618,-128.2930670231801
hand_gwathui_alae,499.99999999999983,726.6223045094364,0.01929616380842993,-92.08334151928034
hand_parf_gwathui,287.13735098610016,567.3704315569745,0.01136766266132762,-106.2156669139686
helegnen_luith_raug,38.00725071832061,461.3505655839001,0.3327238099937783,-245.04855378774153
helegnen_tathar_hend,186.95063264579542,642.2090707744803,0.003924457660407271,-124.29667332489194
hervess_calad_firiel,20.764490277100396,332.0469402673182,0.026617851238068636,-104.61930474815084
hervess_hend_lam,189.8215536326476,10000.00000000001,0.024565560875340398,-42.39398227219466
hud_fast_hend,79.05686762486334,10000.00000000001,7.613828700839779,-440.079151400604
imrad_achas_glamor,63.74229852266614,850.8518171159934,9.999999999999997e-06,-149.59997180391696
