object_id,target,pred_ft_transformer
Dornhoth_anwar_melethron,0,0.0007160406094044447
Dornhoth_archam_grond,0,0.0019104386446997523
Dornhoth_certh_iaun,0,0.0017209016950801015
Dornhoth_drafn_celon,0,0.0013364212354645133
Dornhoth_fervain_onodrim,0,0.004609843250364065
Dornhoth_galadh_ylf,0,0.003493512747809291
Dornhoth_gwend_nagol,0,0.0007178494706749916
Dornhoth_hervenn_tathar,0,0.0017043069237843156
Dornhoth_inias_gond,0,0.0015610697446390986
Dornhoth_lavan_ank,0,0.0019388103391975164
Dornhoth_pennas_emel,0,0.0007262684521265328
Dornhoth_rist_lalaith,0,0.0007184363785199821
Dornhoth_salab_corch,0,0.002272729529067874
Dornhoth_thurin_gwaloth,0,0.0016799385193735361
Druadan_galadhrim_narthan,0,0.0017030166927725077
Druadan_galas_Eluwaith,0,0.0018137936713173985
Druadan_galas_ram,0,0.3875040113925934
Druadan_lorn_morgul,0,0.0016013463027775288
Druadan_rodwen_bragol,1,0.3613903820514679
Druadan_romru_araf,0,0.001610542181879282
Druadan_tachol_aranarth,0,0.0018264168174937367
Druadan_tavor_fae,0,0.0015573581913486123
Elrim_cair_amon,0,0.0007429979741573334
Elrim_firiel_soga,0,0.007124083116650581
Elrim_hal_amarth,0,0.0015805321745574474
Elrim_harad_menel,1,0.04761334881186485
Elrim_heledir_fervain,0,0.010953500866889954
Elrim_melethril_thul,0,0.0015880557475611567
Elrim_nana_dagnir,0,0.0017241808818653226
Elrim_sirion_hwiniol,0,0.0016851896652951837
Eluwaith_Druadan_cuin,0,0.0015779901295900345
Eluwaith_amarth_iar,0,0.0017292554257437587
Eluwaith_cyron_hwiniol,0,0.0016880310140550137
Eluwaith_faradrim_haudh,0,0.0007710400386713445
Eluwaith_lain_curunir,0,0.0059054456651210785
Eluwaith_nestad_in,0,0.0019479208858683705
Eluwaith_nost_magol,0,0.0037311562336981297
Eluwaith_rom_andrann,0,0.06206222251057625
Eluwaith_tathar_gwend,0,0.000719776435289532
Ennor_Tawarwaith_paich,0,0.004508461337536573
Ennor_aduial_thavron,0,0.001548413885757327
Ennor_imloth_morgul,1,0.8710511922836304
Ennor_nimp_rovalug,0,0.0020123417489230633
Eru_alae_nath,0,0.0016037434106692672
Eru_gwathui_Mirion,0,0.0017059716628864408
Eru_iaun_rodwen,0,0.001942370436154306
Eru_lasguil_lossen,0,0.0007664388394914567
Eru_meldir_ulug,0,0.0027697535697370768
Eru_mithren_aras,0,0.0030654054135084152
Eru_saelor_tegilbor,1,0.6565430164337158
Gonhir_achad_melethril,0,0.010786881670355797
Gonhir_fast_romru,1,0.9303876757621765
Gonhir_fervain_ah,0,0.001774155767634511
Gonhir_limlug_harad,0,0.004830218851566315
Gonhir_rochir_Mirion,0,0.000736770685762167
Gonhir_thavron_maen,0,0.0017110034823417664
Gwathuirim_drego_lebdas,0,0.0016409765230491757
Gwathuirim_gwanur_hu,0,0.01766691543161869
Gwathuirim_hwiniol_celon,0,0.0016959822969511151
Gwathuirim_meldir_fuin,1,0.9217600226402283
Gwathuirim_mund_ram,0,0.001944247866049409
Gwathuirim_rochir_drafn,0,0.01946662925183773
Ithil_caras_hadhod,0,0.00071573699824512
Ithil_eglan_melethril,0,0.0007605148130096495
Ithil_fern_maen,0,0.002012526383623481
Ithil_fuin_salph,0,0.0020434055477380753
Ithil_law_galas,0,0.09982503950595856
Ithil_menel_agar,0,0.0016520960489287972
Ithil_minas_elvellon,0,0.0017200583824887872
Ithil_sogannen_glandagol,0,0.0016882640775293112
Ithil_tobas_rodwen,0,0.0016376519342884421
Ithil_uan_hub,0,0.002036184770986438
Ithil_uanui_Eluwaith,0,0.002258135238662362
Mirion_adar_Druadan,0,0.0016115837497636676
Mirion_baug_angos,0,0.0016574612818658352
Mirion_galadh_heledh,0,0.0007820417522452772
Mirion_gwathui_lebdas,0,0.0007418200839310884
Mirion_gwathui_thor,0,0.000714389025233686
Mirion_ingem_ank,0,0.004642341285943985
Mirion_lain_iaun,0,0.001698081148788333
Mirion_lalaith_neledh,0,0.0016380402958020568
Mirion_lunt_fae,0,0.0007787328213453293
Mirion_malad_adar,0,0.001991854514926672
Mirion_saer_curunir,0,0.016250254586338997
Mithrim_alae_cund,1,0.11020084470510483
Mithrim_firion_achas,0,0.0019226347794756293
Mithrim_haudh_pethron,0,0.0017477618530392647
Mithrim_ira_fae,0,0.0018207280663773417
Mithrim_lam_anann,0,0.00257634068839252
Mithrim_lang_elvellon,0,0.0032346651423722506
Mithrim_mereth_rom,0,0.8966870903968811
Mithrim_merilin_gwachaedir,0,0.0015644700033590198
Mithrim_mund_gas,0,0.0016987142153084278
Mithrim_pess_midh,0,0.0007294212700799108
Rochirrim_aiglos_achas,0,0.000777903595007956
Rochirrim_araf_nim,0,0.0007253536605276167
Rochirrim_araf_nimp,0,0.005452567711472511
Rochirrim_dunadan_annon,0,0.0011777731124311686
Rochirrim_gwael_muinthel,0,0.0017300177132710814
Rochirrim_haeron_cenedril,0,0.001624356140382588
Rochirrim_lang_hador,0,0.0017586997710168362
Rochirrim_lebdas_pethron,0,0.014303861185908318
Rochirrim_navaer_luithien,0,0.0023923784028738737
Rochirrim_nost_aes,0,0.2299453318119049
Rochirrim_pennas_fervain,0,0.19878187775611877
Rochirrim_pent_gil,0,0.0027676206082105637
Rochirrim_raegdan_tavor,0,0.0016943023074418306
Rochirrim_rust_adab,0,0.0017373583978042006
Sindarin_araf_pilin,1,0.7350493669509888
Sindarin_cund_amloth,0,0.0019503606017678976
