object_id,target,pred_xgb
Dornhoth_anwar_melethron,0,0.003999510779976845
Dornhoth_archam_grond,0,0.00024103393661789596
Dornhoth_certh_iaun,0,0.00011638863361440599
Dornhoth_drafn_celon,0,0.015337440185248852
Dornhoth_fervain_onodrim,0,0.001925588003359735
Dornhoth_galadh_ylf,0,0.0015030360082164407
Dornhoth_gwend_nagol,0,0.007616137154400349
Dornhoth_hervenn_tathar,0,0.000349704350810498
Dornhoth_inias_gond,0,0.00032180725247599185
Dornhoth_lavan_ank,0,0.0005021813558414578
Dornhoth_pennas_emel,0,0.0017834522295743227
Dornhoth_rist_lalaith,0,0.009374462068080902
Dornhoth_salab_corch,0,0.001582171069458127
Dornhoth_thurin_gwaloth,0,0.0004245445306878537
Druadan_galadhrim_narthan,0,0.005439396016299725
Druadan_galas_Eluwaith,0,3.746745642274618e-05
Druadan_galas_ram,0,0.8142188787460327
Druadan_lorn_morgul,0,0.0001325014600297436
Druadan_rodwen_bragol,1,0.6191357374191284
Druadan_romru_araf,0,0.00010728939378168434
Druadan_tachol_aranarth,0,0.003908996935933828
Druadan_tavor_fae,0,0.00011314274888718501
Elrim_cair_amon,0,0.002070800168439746
Elrim_firiel_soga,0,0.0030267988331615925
Elrim_hal_amarth,0,0.00029662574524991214
Elrim_harad_menel,1,0.391052782535553
Elrim_heledir_fervain,0,0.007381310686469078
Elrim_melethril_thul,0,0.0003053888212889433
Elrim_nana_dagnir,0,0.00017470101010985672
Elrim_sirion_hwiniol,0,0.0002263318601762876
Eluwaith_Druadan_cuin,0,0.00012301722017582506
Eluwaith_amarth_iar,0,3.558685057214461e-05
Eluwaith_cyron_hwiniol,0,0.0003812581126112491
Eluwaith_faradrim_haudh,0,0.0033104175236076117
Eluwaith_lain_curunir,0,0.037977639585733414
Eluwaith_nestad_in,0,0.0004679695121012628
Eluwaith_nost_magol,0,0.0029482978861778975
Eluwaith_rom_andrann,0,0.0023999253753572702
Eluwaith_tathar_gwend,0,0.000645896012429148
Ennor_Tawarwaith_paich,0,0.0035397640895098448
Ennor_aduial_thavron,0,9.41880134632811e-05
Ennor_imloth_morgul,1,0.9693620204925537
Ennor_nimp_rovalug,0,0.0012226129183545709
Eru_alae_nath,0,9.415478416485712e-05
Eru_gwathui_Mirion,0,0.0017999019473791122
Eru_iaun_rodwen,0,0.002444623736664653
Eru_lasguil_lossen,0,0.0017625708132982254
Eru_meldir_ulug,0,0.0011595836840569973
Eru_mithren_aras,0,0.0048066312447190285
Eru_saelor_tegilbor,1,0.5164713859558105
Gonhir_achad_melethril,0,0.0011965346056967974
Gonhir_fast_romru,1,0.9427980780601501
Gonhir_fervain_ah,0,0.0065318807028234005
Gonhir_limlug_harad,0,0.005569446831941605
Gonhir_rochir_Mirion,0,0.0009809929179027677
Gonhir_thavron_maen,0,0.00030017676181159914
Gwathuirim_drego_lebdas,0,0.000596006924752146
Gwathuirim_gwanur_hu,0,0.05407040938735008
Gwathuirim_hwiniol_celon,0,0.00036328379064798355
Gwathuirim_meldir_fuin,1,0.8363628387451172
Gwathuirim_mund_ram,0,0.00028192170429974794
Gwathuirim_rochir_drafn,0,0.002987137297168374
Ithil_caras_hadhod,0,0.007902848534286022
Ithil_eglan_melethril,0,0.042220063507556915
Ithil_fern_maen,0,0.0011755286250263453
Ithil_fuin_salph,0,0.0015886834589764476
Ithil_law_galas,0,0.0063504744321107864
Ithil_menel_agar,0,0.00026771012926474214
Ithil_minas_elvellon,0,6.150169065222144e-05
Ithil_sogannen_glandagol,0,0.00023008929565548897
Ithil_tobas_rodwen,0,0.001933649997226894
Ithil_uan_hub,0,0.15386642515659332
Ithil_uanui_Eluwaith,0,0.0023873751051723957
Mirion_adar_Druadan,0,4.859223554376513e-05
Mirion_baug_angos,0,0.00017963294521905482
Mirion_galadh_heledh,0,0.013161491602659225
Mirion_gwathui_lebdas,0,0.0004368802474346012
