object_id,target,pred_resnet
Dornhoth_anwar_melethron,0.0,0.073698156978935
Dornhoth_archam_grond,0.0,0.009333025504020043
Dornhoth_certh_iaun,0.0,0.004606691509252414
Dornhoth_drafn_celon,0.0,0.08698545303195715
Dornhoth_fervain_onodrim,0.0,0.08038079552352428
Dornhoth_galadh_ylf,0.0,0.03594226366840303
Dornhoth_gwend_nagol,0.0,0.06746278796344995
Dornhoth_hervenn_tathar,0.0,0.013485142088029534
Dornhoth_inias_gond,0.0,0.018141578184440732
Dornhoth_lavan_ank,0.0,0.01688450516667217
Dornhoth_pennas_emel,0.0,0.018955685780383646
Dornhoth_rist_lalaith,0.0,0.04082437790930271
Dornhoth_salab_corch,0.0,0.13554196152836084
Dornhoth_thurin_gwaloth,0.0,0.005078061585663818
Druadan_galadhrim_narthan,0.0,0.02703056950122118
Druadan_galas_Eluwaith,0.0,0.021243214956484735
Druadan_galas_ram,0.0,0.4077558368444443
Druadan_lorn_morgul,0.0,0.0056551175366621464
Druadan_rodwen_bragol,1.0,0.3076665736734867
Druadan_romru_araf,0.0,0.015533563157077879
Druadan_tachol_aranarth,0.0,0.25434837862849236
Druadan_tavor_fae,0.0,0.03363275993615389
Elrim_cair_amon,0.0,0.02475976652931422
Elrim_firiel_soga,0.0,0.050566814839839935
Elrim_hal_amarth,0.0,0.025291091995313764
Elrim_harad_menel,1.0,0.7077451199293137
Elrim_heledir_fervain,0.0,0.057109552435576916
Elrim_melethril_thul,0.0,0.03590900004201103
Elrim_nana_dagnir,0.0,0.03108998481184244
Elrim_sirion_hwiniol,0.0,0.025758517207577825
Eluwaith_Druadan_cuin,0.0,0.017414365633158013
Eluwaith_amarth_iar,0.0,0.022121856454759836
Eluwaith_cyron_hwiniol,0.0,0.005375417560571805
Eluwaith_faradrim_haudh,0.0,0.04231327120214701
Eluwaith_lain_curunir,0.0,0.05037779454141855
Eluwaith_nestad_in,0.0,0.016021647141315043
Eluwaith_nost_magol,0.0,0.19830084033310413
Eluwaith_rom_andrann,0.0,0.03115171007812023
Eluwaith_tathar_gwend,0.0,0.08061741758137941
Ennor_Tawarwaith_paich,0.0,0.06339074904099107
Ennor_aduial_thavron,0.0,0.027253573527559638
Ennor_imloth_morgul,1.0,0.7146344035863876
Ennor_nimp_rovalug,0.0,0.018090517027303576
Eru_alae_nath,0.0,0.0018456838174643053
Eru_gwathui_Mirion,0.0,0.35879744961857796
Eru_iaun_rodwen,0.0,0.004048514427267946
Eru_lasguil_lossen,0.0,0.03585295396624133
Eru_meldir_ulug,0.0,0.03641938290093094
Eru_mithren_aras,0.0,0.09593549091368914
Eru_saelor_tegilbor,1.0,0.6053025349974632
Gonhir_achad_melethril,0.0,0.08790501859039068
Gonhir_fast_romru,1.0,0.7328782081604004
Gonhir_fervain_ah,0.0,0.025898854481056333
Gonhir_limlug_harad,0.0,0.024240516824647784
Gonhir_rochir_Mirion,0.0,0.03397019425756298
Gonhir_thavron_maen,0.0,0.027506521437317133
Gwathuirim_drego_lebdas,0.0,0.03059238230343908
Gwathuirim_gwanur_hu,0.0,0.03479236178100109
