object_id,target,pred_tabpfn
Dornhoth_anwar_melethron,0,0.0011032612528651953
Dornhoth_archam_grond,0,0.000922729610465467
Dornhoth_certh_iaun,0,0.0009622711222618818
Dornhoth_drafn_celon,0,0.022684628143906593
Dornhoth_fervain_onodrim,0,0.0036630036775022745
Dornhoth_galadh_ylf,0,0.0011689795646816492
Dornhoth_gwend_nagol,0,0.0012413548538461328
Dornhoth_hervenn_tathar,0,0.00026147678727284074
Dornhoth_inias_gond,0,5.26877302036155e-05
Dornhoth_lavan_ank,0,6.651435978710651e-05
Dornhoth_pennas_emel,0,0.0017036880599334836
Dornhoth_rist_lalaith,0,0.000784071336966008
Dornhoth_salab_corch,0,0.007592927664518356
Dornhoth_thurin_gwaloth,0,9.762287663761526e-05
Druadan_galadhrim_narthan,0,0.02614429034292698
Druadan_galas_Eluwaith,0,3.6178709706291556e-05
Druadan_galas_ram,0,0.8166951537132263
Druadan_lorn_morgul,0,5.3104915423318744e-05
Druadan_rodwen_bragol,1,0.06634926795959473
Druadan_romru_araf,0,0.002156771020963788
Druadan_tachol_aranarth,0,0.018884042277932167
Druadan_tavor_fae,0,0.0030742003582417965
Elrim_cair_amon,0,6.13890151726082e-05
Elrim_firiel_soga,0,0.0019359920406714082
Elrim_hal_amarth,0,1.740425250318367e-05
Elrim_harad_menel,1,0.6726873517036438
Elrim_heledir_fervain,0,0.008293215185403824
Elrim_melethril_thul,0,0.0037846416234970093
Elrim_nana_dagnir,0,0.00015995328431017697
Elrim_sirion_hwiniol,0,0.00018748105503618717
Eluwaith_Druadan_cuin,0,0.0011156436521559954
Eluwaith_amarth_iar,0,0.00011091194755863398
Eluwaith_cyron_hwiniol,0,0.005435591097921133
Eluwaith_faradrim_haudh,0,0.00027601252077147365
Eluwaith_lain_curunir,0,0.01797650009393692
Eluwaith_nestad_in,0,4.863502545049414e-05
Eluwaith_nost_magol,0,0.011771527118980885
Eluwaith_rom_andrann,0,0.014956352300941944
Eluwaith_tathar_gwend,0,7.068611012073234e-05
Ennor_Tawarwaith_paich,0,0.0016789279179647565
Ennor_aduial_thavron,0,0.0008865201962180436
Ennor_imloth_morgul,1,0.8055657148361206
Ennor_nimp_rovalug,0,0.0005049621104262769
Eru_alae_nath,0,0.0001001257769530639
Eru_gwathui_Mirion,0,0.0011127861216664314
Eru_iaun_rodwen,0,0.00052831438370049
Eru_lasguil_lossen,0,0.0006283833063207567
Eru_meldir_ulug,0,0.00385305006057024
Eru_mithren_aras,0,0.00968251470476389
Eru_saelor_tegilbor,1,0.4326171875
Gonhir_achad_melethril,0,0.010344511829316616
Gonhir_fast_romru,1,0.8919265270233154
Gonhir_fervain_ah,0,0.002697618678212166
Gonhir_limlug_harad,0,0.019665878266096115
Gonhir_rochir_Mirion,0,7.908910629339516e-05
Gonhir_thavron_maen,0,0.004050621297210455
Gwathuirim_drego_lebdas,0,0.00018033113155979663
Gwathuirim_gwanur_hu,0,0.015670059248805046
Gwathuirim_hwiniol_celon,0,0.004168367013335228
Gwathuirim_meldir_fuin,1,0.65234375
Gwathuirim_mund_ram,0,0.00012145951041020453
Gwathuirim_rochir_drafn,0,0.004951137118041515
Ithil_caras_hadhod,0,0.00038246388430707157
Ithil_eglan_melethril,0,0.020951276645064354
Ithil_fern_maen,0,0.00013885954103898257
Ithil_fuin_salph,0,0.0015524455811828375
Ithil_law_galas,0,0.006521987728774548
Ithil_menel_agar,0,0.0005068684695288539
Ithil_minas_elvellon,0,0.0015705353580415249
