object_id,target,pred_mlp
Dornhoth_anwar_melethron,0.0,0.03789425082504749
Dornhoth_archam_grond,0.0,0.009251581213902682
Dornhoth_certh_iaun,0.0,0.0032069098233478144
Dornhoth_drafn_celon,0.0,0.05465344246476889
Dornhoth_fervain_onodrim,0.0,0.07860066182911396
Dornhoth_galadh_ylf,0.0,0.023517375928349793
Dornhoth_gwend_nagol,0.0,0.014596808468922973
Dornhoth_hervenn_tathar,0.0,0.003479888750007376
Dornhoth_inias_gond,0.0,0.013262023567222059
Dornhoth_lavan_ank,0.0,0.014333966188132763
Dornhoth_pennas_emel,0.0,0.006441485311370343
Dornhoth_rist_lalaith,0.0,0.028554077725857496
Dornhoth_salab_corch,0.0,0.11040121875703335
Dornhoth_thurin_gwaloth,0.0,0.0051204471092205495
Druadan_galadhrim_narthan,0.0,0.02280999207869172
Druadan_galas_Eluwaith,0.0,0.013575045042671263
Druadan_galas_ram,0.0,0.5064026564359665
Druadan_lorn_morgul,0.0,0.0029985769651830196
Druadan_rodwen_bragol,1.0,0.3528759703040123
Druadan_romru_araf,0.0,0.0054314518929459155
Druadan_tachol_aranarth,0.0,0.3916575387120247
Druadan_tavor_fae,0.0,0.02951379050500691
Elrim_cair_amon,0.0,0.008325278584379703
Elrim_firiel_soga,0.0,0.029186480212956667
Elrim_hal_amarth,0.0,0.031030660727992654
Elrim_harad_menel,1.0,0.7517345696687698
Elrim_heledir_fervain,0.0,0.026143225259147584
Elrim_melethril_thul,0.0,0.05248476844280958
Elrim_nana_dagnir,0.0,0.015684551326557994
Elrim_sirion_hwiniol,0.0,0.015013566939160228
Eluwaith_Druadan_cuin,0.0,0.0067725254921242595
Eluwaith_amarth_iar,0.0,0.020726261660456657
Eluwaith_cyron_hwiniol,0.0,0.008037316321860999
Eluwaith_faradrim_haudh,0.0,0.011261328589171171
Eluwaith_lain_curunir,0.0,0.008340267173480242
Eluwaith_nestad_in,0.0,0.01236975216306746
Eluwaith_nost_magol,0.0,0.11975483782589436
Eluwaith_rom_andrann,0.0,0.0245278209913522
Eluwaith_tathar_gwend,0.0,0.03224703576415777
Ennor_Tawarwaith_paich,0.0,0.046011135913431644
Ennor_aduial_thavron,0.0,0.00850473006721586
Ennor_imloth_morgul,1.0,0.7731885313987732
Ennor_nimp_rovalug,0.0,0.032854881370440125
Eru_alae_nath,0.0,0.0006189911091496469
Eru_gwathui_Mirion,0.0,0.22091631591320038
